School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Borough Name,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
2014-15,Q435,,230-17 HILLSIDE AVENUE CONSOLIDATED LOCATION,,230-17 HILLSIDE AVENUE,Q,26,1854,230-17 HILLSIDE AVENUE CONSOLIDATED LOCATION,2,Business Technology Early College High School |  Martin Van Buren High School |  230-17 HILLSIDE AVENUE CONSOLIDATED LOCATION,2,5,28,4,3,9C,1751-2000,0.95,3.35,6.9,2.5,1.45,QUEENS   ,11427,40.733066,-73.738756,13,23,1301,4166101,4079300002,Bellerose                                                                  
2014-15,Q451,30Q575,Academy of American Studies,Q575,28-04 41 AVENUE,Q,30,874,,1,Academy of American Studies,1,3,0,3,0,5C,751-1000,0.46,1.65,2.77,1.17,0.75,QUEENS   ,11101,40.751331,-73.937434,1,26,33,4005026,4004170016,Queensbridge-Ravenswood-Long Island City                                   
2014-15,Q452,30Q450,Long Island City High School,Q450,14-30 BROADWAY,Q,30,2123,,1,Long Island City High School,2,4,12,3,1,10C,2001-2500,1.96,7.74,16.07,5.48,3.44,QUEENS   ,11106,40.765826,-73.9328,1,22,45,4467709,4005290002,Astoria                                                                    
2014-15,Q455,24Q236,International High School for Health Sciences,Q236,48-01 90 STREET,Q,24,159,48-01 90 STREET CONSOLIDATED LOCATION,2,International High School for Health Sciences |  Newtown High School |  48-01 90 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11373,40.741122,-73.874721,4,25,461,4045629,4018490001,Elmhurst                                                                   
2014-15,Q455,24Q455,Newtown High School,Q455,48-01 90 STREET,Q,24,1921,48-01 90 STREET CONSOLIDATED LOCATION,2,International High School for Health Sciences |  Newtown High School |  48-01 90 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,9C,1751-2000,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11373,40.741122,-73.874721,4,25,461,4045629,4018490001,Elmhurst                                                                   
2014-15,Q455,,48-01 90 STREET CONSOLIDATED LOCATION,,48-01 90 STREET,Q,24,2080,48-01 90 STREET CONSOLIDATED LOCATION,2,International High School for Health Sciences |  Newtown High School |  48-01 90 STREET CONSOLIDATED LOCATION,1,5,6,3,3,10C,2001-2500,1.96,7.74,16.07,5.48,3.44,QUEENS   ,11373,40.741122,-73.874721,4,25,461,4045629,4018490001,Elmhurst                                                                   
2014-15,Q456,24Q457,HS Arts & Business Yabc,Q457,105-25 HORACE HARDING EXPY N,Q,24,266,105-25 HORACE HARDING EXPY N CONSOLIDATED LOCATION,2,HS Arts & Business Yabc |  High School for Arts and Business |  105-25 HORACE HARDING EXPY N CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11368,40.737427,-73.853178,4,21,43701,4048306,4019630005,Corona                                                                     
2014-15,Q456,24Q550,High School for Arts and Business,Q550,105-25 HORACE HARDING EXPY N,Q,24,870,105-25 HORACE HARDING EXPY N CONSOLIDATED LOCATION,2,HS Arts & Business Yabc |  High School for Arts and Business |  105-25 HORACE HARDING EXPY N CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11368,40.737427,-73.853178,4,21,43701,4048306,4019630005,Corona                                                                     
2014-15,Q456,,105-25 HORACE HARDING EXPY N CONSOLIDATED LOCATION,,105-25 HORACE HARDING EXPY N,Q,24,1136,105-25 HORACE HARDING EXPY N CONSOLIDATED LOCATION,2,HS Arts & Business Yabc |  High School for Arts and Business |  105-25 HORACE HARDING EXPY N CONSOLIDATED LOCATION,0,3,4,2,0,6C,1001-1250,0.48,2.19,3.69,1.29,1,QUEENS   ,11368,40.737427,-73.853178,4,21,43701,4048306,4019630005,Corona                                                                     
2014-15,Q460,25Q240,Veritas Academy,Q240,35-01 UNION STREET,Q,25,275,35-01 UNION STREET CONSOLIDATED LOCATION,5,Veritas Academy|  Queens High School for Language Studies|  Flushing High School|  Flushing Yabc|  Flushing Evening High Schl M/W,N/A,N/A,N/A,N/A,N/A,3C,251- 500,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11354,40.765166,-73.82789,7,20,1161,4113172,4050020001,Flushing                                                                   
2014-15,Q460,25Q241,Queens High School for Language Studies,Q241,35-01 UNION STREET,Q,25,205,35-01 UNION STREET CONSOLIDATED LOCATION,5,Veritas Academy|  Queens High School for Language Studies|  Flushing High School|  Flushing Yabc|  Flushing Evening High Schl M/W,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11354,40.765166,-73.82789,7,20,1161,4113172,4050020001,Flushing                                                                   
2014-15,Q460,25Q460,Flushing High School,Q460,35-01 UNION STREET,Q,25,2186,35-01 UNION STREET CONSOLIDATED LOCATION,5,Veritas Academy|  Queens High School for Language Studies|  Flushing High School|  Flushing Yabc|  Flushing Evening High Schl M/W,N/A,N/A,N/A,N/A,N/A,10C,2001-2500,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11354,40.765166,-73.82789,7,20,1161,4113172,4050020001,Flushing                                                                   
2014-15,Q460,25Q467,Flushing Yabc,Q467,35-01 UNION STREET,Q,25,284,35-01 UNION STREET CONSOLIDATED LOCATION,5,Veritas Academy|  Queens High School for Language Studies|  Flushing High School|  Flushing Yabc|  Flushing Evening High Schl M/W,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11354,40.765166,-73.82789,7,20,1161,4113172,4050020001,Flushing                                                                   
2014-15,Q460,77Q901,FLUSHING EVENING HS MON & WED(QN) ,Q901,35-01 UNION STREET,Q,25,,35-01 UNION STREET CONSOLIDATED LOCATION,5,Veritas Academy|  Queens High School for Language Studies|  Flushing High School|  Flushing Yabc|  Flushing Evening High Schl M/W,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11354,40.765166,-73.82789,7,20,1161,4113172,4050020001,Flushing                                                                   
2014-15,Q460,,35-01 UNION STREET CONSOLIDATED LOCATION,,35-01 UNION STREET,Q,25,2950,35-01 UNION STREET CONSOLIDATED LOCATION,5,Veritas Academy|  Queens High School for Language Studies|  Flushing High School|  Flushing Yabc|  Flushing Evening High Schl M/W,2,10,10,8,3,11C,2501-3000,3.33,12,34.5,6.42,7.17,QUEENS   ,11354,40.765166,-73.82789,7,20,1161,4113172,4050020001,Flushing                                                                   
2014-15,Q465,27Q260,Frederick Douglass Academy VI High School,Q260,8-21 BAY 25 STREET,Q,27,409,8-21 BAY 25 STREET CONSOLIDATED LOCATION,4,"Frederick Douglass Academy VI High School |  Knowledge and Power Preparatory Academy VI |  Queens High School for Information, Research, and |  Academy of Medical Technology: A College Board Sch |  8-21 BAY 25 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11691,40.60201,-73.762795,14,31,100802,4300730,4157360001,Far Rockaway-Bayswater                                                     
